gene_symbol,panel_role,probe_id,selected_by_max_variance,selected_by_best_detected,frozen_risk_oriented_loading,expression_variance,detected_fraction_p_lt_0_01,detected_fraction_p_lt_0_05,detection_p_median,n,events,hr_per_sd,ci_low,ci_high,p,fixed_direction_c_index,direction_concordant_with_canine,error,interpretation_note
FAM107A,M34_top_positive_frozen_loading,ILMN_1743445,True,True,-0.0167182415832317,1.4447682280006289,0.2972972972972973,0.35135135135135137,0.46897,36,18,1.135701914807706,0.6885813899176888,1.8731537886205023,0.618171955120767,0.5123762376237624,True,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
EGR1,M34_top_positive_frozen_loading,ILMN_1762899,True,True,-0.0261710057302248,2.7775455957072945,0.8108108108108109,0.918918918918919,0.0,36,18,1.1647321060592144,0.7431125959815519,1.8255657167178625,0.5060122498042386,0.5495049504950495,True,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
PAPPA,M34_top_positive_frozen_loading,ILMN_1721770,True,True,-0.0272872558002062,1.439891542842886,0.35135135135135137,0.43243243243243246,0.09655,36,18,0.8246036938534426,0.48102731900041495,1.4135813602639802,0.48311829057898736,0.504950495049505,False,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
DENND1C,M34_top_negative_frozen_loading,ILMN_1767020,True,True,-0.0846152869978331,1.5204919739638099,0.5675675675675675,0.6756756756756757,0.0069,36,18,1.1029338277070138,0.7547177499646895,1.6118118705401567,0.6127528315452953,0.5321782178217822,True,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
PTPRC,M34_top_negative_frozen_loading,ILMN_1730842,False,False,-0.0840791735623078,0.3233810863786554,0.05405405405405406,0.13513513513513514,0.55172,36,18,0.6471981312019406,0.2547016107107761,1.6445338522296304,0.3604767584522983,0.45544554455445546,False,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
PTPRC,M34_top_negative_frozen_loading,ILMN_2340217,False,False,-0.0840791735623078,0.14353969354439422,0.13513513513513514,0.21621621621621623,0.38276,36,18,1.1339398709510595,0.7411898332492273,1.734804733216227,0.5623114528668782,0.5841584158415841,True,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
PTPRC,M34_top_negative_frozen_loading,ILMN_1653652,False,False,-0.0840791735623078,0.167008938672928,0.16216216216216217,0.1891891891891892,0.58621,36,18,0.9735556588245894,0.6195796733982312,1.5297639053116268,0.9074673529053948,0.5668316831683168,False,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
PTPRC,M34_top_negative_frozen_loading,ILMN_1804279,True,True,-0.0840791735623078,2.6656196038608964,0.5135135135135135,0.7027027027027027,0.00345,36,18,1.1245611808998963,0.7056438335508499,1.7921758675665338,0.621513347126607,0.48514851485148514,True,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
PTPN6,M34_top_negative_frozen_loading,ILMN_1664122,False,False,-0.0838995626139224,0.6451263788995975,0.08108108108108109,0.1891891891891892,0.13103,36,18,0.6112554262759521,0.34646495462579857,1.0784155544832539,0.08925462072353606,0.4183168316831683,False,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
PTPN6,M34_top_negative_frozen_loading,ILMN_1716578,True,False,-0.0838995626139224,4.397785895999657,0.2972972972972973,0.3783783783783784,0.44138,36,18,0.8249514032947958,0.49001859277902343,1.3888142773083474,0.4690191948371254,0.4282178217821782,False,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
PTPN6,M34_top_negative_frozen_loading,ILMN_1738675,False,True,-0.0838995626139224,2.201646407505068,0.40540540540540543,0.43243243243243246,0.14828,36,18,0.9545934774586271,0.5908318411272288,1.5423148242451064,0.8494305430321428,0.5321782178217822,False,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
PARVG,M34_top_negative_frozen_loading,ILMN_1695851,True,True,-0.0835820736904279,5.4933332228383005,0.6486486486486487,0.7297297297297297,0.0,36,18,1.0810471986803754,0.6704052110689804,1.7432189166776015,0.7492168381861404,0.5915841584158416,True,,Frozen M34-loading diagnostic; no independent expected outcome direction is imposed.
