module_label,validation_tier,score_name,analysis_role,gene_mapping,within_cohort_preprocessing,score_formula,minimum_gene_rule,outcome_use
M40,primary_proliferation_deviation_axis,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M40,primary_proliferation_deviation_axis,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M40,primary_proliferation_deviation_axis,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M40,primary_proliferation_deviation_axis,residual_to_disjoint_proliferation,mechanistic_sensitivity,strict module genes plus strict proliferation genes after removing overlap,construct both scores without outcomes; residualize M40 score on disjoint proliferation score,standardized residual from linear regression of M40 score on disjoint proliferation score,same minimum-gene rules for both component scores,no outcome information used during residualization
M17,secondary_sensitivity,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M17,secondary_sensitivity,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M17,secondary_sensitivity,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M25,secondary_sensitivity,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M25,secondary_sensitivity,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M25,secondary_sensitivity,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M28,secondary_sensitivity,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M28,secondary_sensitivity,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M28,secondary_sensitivity,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
M38,secondary_sensitivity,strict_one_to_one_unweighted_mean_z,primary,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,arithmetic mean of signed gene z-scores using the sign of each frozen risk-oriented canine PCA loading,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M38,secondary_sensitivity,strict_one_to_one_canine_pca_weighted_z,secondary_zero_shot,strict_symbol_concordant_one_to_one,z-score each available gene across human samples,sum of gene z-scores multiplied by frozen risk-oriented canine PCA loadings normalized by absolute weight sum,at least 3 genes and at least 50% of frozen strict genes,no outcome information used to construct the score
M38,secondary_sensitivity,broad_mapped_unweighted_mean_z,mapping_sensitivity,broad transferable mapping including review-status mappings,z-score each available gene across human samples,arithmetic mean of risk-oriented mapped gene z-scores,at least 3 genes and at least 50% of frozen broad genes,no outcome information used to construct the score
